"","GOR","Region_Name","sex","age_group","pop_raw",".groups","region","ethnicity","N","ethnicity_per","pop"
"466",7,"London","Male","(11,16]",269958.401220869,"drop","E12000007","Asian",60735.4498244904,0.223097282209028,60226.9856218701
"467",7,"London","Male","(11,16]",269958.401220869,"drop","E12000007","Black",57707.2721361426,0.211973989070199,57224.159189801
"468",7,"London","Male","(11,16]",269958.401220869,"drop","E12000007","Mixed",28990.8487146155,0.106491012676353,28748.1435264996
"469",7,"London","Male","(11,16]",269958.401220869,"drop","E12000007","Other",13489.5554965482,0.0495506854429229,13376.6238215697
"470",7,"London","Male","(11,16]",269958.401220869,"drop","E12000007","White",111314.389333144,0.408887030601497,110382.489061129
"471",7,"London","Male","(16,25]",476665.230916346,"drop","E12000007","Asian",135794.951851173,0.239142430497894,113990.881855175
"472",7,"London","Male","(16,25]",476665.230916346,"drop","E12000007","Black",83481.4949054922,0.147015535711348,70077.1942781399
"473",7,"London","Male","(16,25]",476665.230916346,"drop","E12000007","Mixed",41964.747966636,0.0739022451657223,35226.6307571554
"474",7,"London","Male","(16,25]",476665.230916346,"drop","E12000007","Other",23808.0271608626,0.0419272543124316,19985.2643585236
"475",7,"London","Male","(16,25]",476665.230916346,"drop","E12000007","White",282792.09163117,0.498012534312605,237385.259667352
"476",7,"London","Male","(25,50]",1849808.27397536,"drop","E12000007","Asian",469495.087972893,0.231675091462824,428554.50106193
"477",7,"London","Male","(25,50]",1849808.27397536,"drop","E12000007","Black",196902.461261822,0.0971626687705017,179732.308613201
"478",7,"London","Male","(25,50]",1849808.27397536,"drop","E12000007","Mixed",86075.4736661658,0.0424744448774003,78569.5795667255
"479",7,"London","Male","(25,50]",1849808.27397536,"drop","E12000007","Other",95283.1035572889,0.0470180035893606,86974.2920654024
"480",7,"London","Male","(25,50]",1849808.27397536,"drop","E12000007","White",1178767.67896453,0.581669791299914,1075977.5926681
"481",7,"London","Male","(50,70]",849453.933727151,"drop","E12000007","Asian",142594.216111185,0.172123717058966,146211.168543478
"482",7,"London","Male","(50,70]",849453.933727151,"drop","E12000007","Black",108467.199938123,0.130929417345865,111218.508605049
"483",7,"London","Male","(50,70]",849453.933727151,"drop","E12000007","Mixed",19471.9345470986,0.023504331690159,19965.8470138333
"484",7,"London","Male","(50,70]",849453.933727151,"drop","E12000007","Other",31126.1657885101,0.0375720102779944,31915.6919286793
"485",7,"London","Male","(50,70]",849453.933727151,"drop","E12000007","White",526780.738959645,0.635870523627016,540142.717636112
"486",7,"London","Male","(70, Inf]",310006.932971833,"drop","E12000007","Asian",43924.8363331645,0.138800243030417,43029.0376376047
"487",7,"London","Male","(70, Inf]",310006.932971833,"drop","E12000007","Black",23749.7489423679,0.075047995628458,23265.3989504618
"488",7,"London","Male","(70, Inf]",310006.932971833,"drop","E12000007","Mixed",4404.02729405121,0.0139165016823379,4314.21200423892
"489",7,"London","Male","(70, Inf]",310006.932971833,"drop","E12000007","Other",6803.70446966566,0.0214993591947368,6664.95040482013
"490",7,"London","Male","(70, Inf]",310006.932971833,"drop","E12000007","White",237578.485724177,0.75073590046405,232733.333974707
"491",8,"South_East_England","Female","(-Inf,1]",93733.7789038574,"drop","E12000008","Asian",10287.6251876102,0.0990327492664198,9282.71382397974
"492",8,"South_East_England","Female","(-Inf,1]",93733.7789038574,"drop","E12000008","Black",3081.29552555999,0.0296617695176167,2780.30974586146
"493",8,"South_East_England","Female","(-Inf,1]",93733.7789038574,"drop","E12000008","Mixed",5638.26809938211,0.0542761989089018,5087.51322826879
"494",8,"South_East_England","Female","(-Inf,1]",93733.7789038574,"drop","E12000008","Other",620.37156964675,0.00597194211379637,559.772701721224
"495",8,"South_East_England","Female","(-Inf,1]",93733.7789038574,"drop","E12000008","White",84253.4816348641,0.811057340193265,76023.4694040262
"496",8,"South_East_England","Female","(1,11]",547970.024791325,"drop","E12000008","Asian",48113.8828115372,0.0886852939308807,48596.8827139306
"497",8,"South_East_England","Female","(1,11]",547970.024791325,"drop","E12000008","Black",15058.2140224996,0.0277558587796881,15209.3786236102
"498",8,"South_East_England","Female","(1,11]",547970.024791325,"drop","E12000008","Mixed",31014.7238415816,0.0571674897004197,31326.0707483968
"499",8,"South_East_England","Female","(1,11]",547970.024791325,"drop","E12000008","Other",3709.91770099241,0.00683825795271286,3747.16037987754
"500",8,"South_East_England","Female","(1,11]",547970.024791325,"drop","E12000008","White",444627.063247546,0.819553099636299,449090.532325509
"501",8,"South_East_England","Female","(11,16]",265019.776473209,"drop","E12000008","Asian",19258.8897594017,0.073138992019232,19383.2793164127
"502",8,"South_East_England","Female","(11,16]",265019.776473209,"drop","E12000008","Black",7025.4977033173,0.0266805525590183,7070.87407537275
"503",8,"South_East_England","Female","(11,16]",265019.776473209,"drop","E12000008","Mixed",15133.2659614492,0.0574712162646354,15231.0088880971
"504",8,"South_East_England","Female","(11,16]",265019.776473209,"drop","E12000008","Other",2226.02788202799,0.00845372903278361,2240.40537863339
"505",8,"South_East_England","Female","(11,16]",265019.776473209,"drop","E12000008","White",219675.366819837,0.834255510124331,221094.208814693
"506",8,"South_East_England","Female","(16,25]",417710.357846169,"drop","E12000008","Asian",39703.5914573774,0.0869143885727279,36305.0403526951
"507",8,"South_East_England","Female","(16,25]",417710.357846169,"drop","E12000008","Black",12897.3288828392,0.028233301142964,11793.3423236061
"508",8,"South_East_England","Female","(16,25]",417710.357846169,"drop","E12000008","Mixed",17628.2147397474,0.0385895947820913,16119.273445566
"509",8,"South_East_England","Female","(16,25]",417710.357846169,"drop","E12000008","Other",5008.38302916972,0.0109637575025327,4579.67506972154
"510",8,"South_East_England","Female","(16,25]",417710.357846169,"drop","E12000008","White",381575.123725818,0.835298957999684,348913.02665458
"511",8,"South_East_England","Female","(25,50]",1461557.1458639,"drop","E12000008","Asian",138349.902611878,0.0930460083991607,135992.058469906
"512",8,"South_East_England","Female","(25,50]",1461557.1458639,"drop","E12000008","Black",35446.3098150628,0.0238391034507922,34842.211999494
"513",8,"South_East_England","Female","(25,50]",1461557.1458639,"drop","E12000008","Mixed",29783.7186230526,0.0200307776213849,29276.1261697458
"514",8,"South_East_England","Female","(25,50]",1461557.1458639,"drop","E12000008","Other",14915.2581907449,0.0100311255208108,14661.0631859987
"515",8,"South_East_England","Female","(25,50]",1461557.1458639,"drop","E12000008","White",1268402.58307817,0.853052985007852,1246785.68603876
"516",8,"South_East_England","Female","(50,70]",1143370.58231758,"drop","E12000008","Asian",45893.4910412562,0.0402942057338409,46071.2094739262
