time,S
191,5.945701107501116e-5
192,5.6738793015925006e-5
193,5.390160236978731e-5
194,5.1369534879937e-5
195,4.911377392741117e-5
196,4.666255006034501e-5
197,4.4496840788406565e-5
198,4.237315200701452e-5
199,4.002740272310102e-5
200,3.793229013858195e-5
201,3.5757157992818396e-5
202,3.386647544268554e-5
203,3.21515586589228e-5
204,3.0493775229986366e-5
205,2.8874893693591148e-5
206,2.7508537476362033e-5
207,2.5973893835858438e-5
208,2.4749313859392336e-5
209,2.3575966855494833e-5
210,2.25244159512112e-5
211,2.138647299215271e-5
212,2.0210702959389664e-5
213,1.920774602837497e-5
214,1.818837941978249e-5
215,1.727974301041714e-5
216,1.636147700888588e-5
217,1.5558114861133834e-5
218,1.4825010941221919e-5
219,1.3964775553880007e-5
220,1.3282627575737193e-5
221,1.2657976611952411e-5
222,1.1992124181063901e-5
223,1.1320025536052192e-5
224,1.0781763568842903e-5
225,1.0228543295704843e-5
226,9.768151131032646e-6
227,9.2315308318587e-6
228,8.792302907873965e-6
229,8.208667028866583e-6
230,7.794346618427435e-6
231,7.41555150560583e-6
232,7.052131307758475e-6
233,6.666020990033705e-6
234,6.2791988298590894e-6
235,5.905188985805422e-6
236,5.5684137858140125e-6
237,5.296012085114685e-6
238,5.053902541640092e-6
239,4.7998112957001415e-6
240,4.541111181070398e-6
241,4.2795656733266125e-6
242,4.018588264285887e-6
243,3.860633859895708e-6
244,3.6607288430651966e-6
245,3.4441622476558635e-6
246,3.2666015710531904e-6
247,3.097636017186919e-6
248,2.902304578194768e-6
249,2.7684615192867174e-6
250,2.609948309539124e-6
251,2.499691999490032e-6
252,2.385931331321529e-6
253,2.2695624271210342e-6
254,2.173462371860203e-6
255,2.085178841783439e-6
256,1.9802381629698793e-6
257,1.8886554978846618e-6
258,1.7984640369645158e-6
259,1.7175724047429279e-6
260,1.6453270655568053e-6
261,1.5740907097227293e-6
262,1.508064191648373e-6
263,1.4511548983191843e-6
264,1.3743221958474982e-6
265,1.3088663046059973e-6
266,1.2577808496823896e-6
267,1.164046568363909e-6
268,1.1112860529148554e-6
269,1.0698190300249516e-6
270,1.0257732033163862e-6
271,9.705176463981092e-7
272,9.192405930666982e-7
273,8.763758752849295e-7
274,8.44726553224809e-7
275,8.1518557878156e-7
276,7.722014829137855e-7
277,7.423847195290423e-7
278,7.129083838519767e-7
279,6.78221757968982e-7
280,6.419660596682415e-7
281,6.032372887704184e-7
282,5.723088172012466e-7
283,5.501740724097653e-7
284,5.17249026591479e-7
285,4.949001656950152e-7
286,4.760416513875417e-7
287,4.4183032969527954e-7
288,4.166478671421431e-7
289,3.9799908323210974e-7
290,3.812759525240456e-7
291,3.6332301165364735e-7
292,3.488517152829424e-7
293,3.352896587574401e-7
294,3.1071085579063404e-7
295,2.970485549110239e-7
296,2.863372077307733e-7
297,2.7379962841861745e-7
298,2.572742913180185e-7
299,2.482893324110782e-7
300,2.3676710704432278e-7
301,2.288105031800535e-7
302,2.1490754203850378e-7
303,2.0516409850002934e-7
304,1.9212190536278872e-7
305,1.8637122832866935e-7
306,1.7929406866410207e-7
307,1.720553821841796e-7
308,1.643881525769552e-7
309,1.5630396349443528e-7
310,1.459241368849266e-7
311,1.3873716700731495e-7
312,1.3319110503569093e-7
313,1.2881592816335058e-7
314,1.2299535484621914e-7
315,1.1846939293395113e-7
316,1.0772271094070327e-7
317,1.0269655611407883e-7
318,9.831824531240682e-8
319,9.360626421638072e-8
320,8.638003054704089e-8
321,8.078362230434743e-8
322,7.858933340703105e-8
323,7.525566149605489e-8
324,7.185984127916868e-8
325,6.92920527823166e-8
326,6.464408234884623e-8
327,6.21617383835922e-8
328,5.904733525718935e-8
329,5.658771491271134e-8
330,5.331692579826654e-8
331,5.1231386520169194e-8
332,4.898922037091378e-8
333,4.296135499483622e-8
334,4.129023006129543e-8
335,4.005955372329568e-8
336,3.78123981461869e-8
337,3.5620613751998e-8
338,3.4529133065770636e-8
339,3.2389265600489147e-8
340,3.058645573439347e-8
341,2.9385814401908484e-8
342,2.840207145326286e-8
343,2.7217476233342745e-8
344,2.5571097774918613e-8
345,2.4239774101504148e-8
346,2.3061934900196904e-8
347,2.2222173536275357e-8
348,2.080811642466348e-8
349,1.932789723314974e-8
350,1.869595025927691e-8
351,1.8179508820506645e-8
352,1.7560368665594415e-8
353,1.5950823696476578e-8
354,1.538262098885471e-8
355,1.4739652957259328e-8
356,1.3579277364696703e-8
357,1.2398450200710463e-8
358,1.1892151827795547e-8
359,1.1437158846386604e-8
360,1.1089573704742905e-8
361,1.0583957293975301e-8
362,1.0089503283183872e-8
363,9.799229184730227e-9
364,9.382275466042966e-9
365,8.764933537436358e-9
366,8.097742603321924e-9
367,7.79947833866489e-9
368,7.480960877583913e-9
369,6.993215294147884e-9
370,6.735272671748781e-9
371,6.401093773626298e-9
372,6.1466130658843934e-9
373,5.8823498896205485e-9
374,5.7563694947447486e-9
375,5.385186673791299e-9
376,5.152799356288779e-9
377,4.749989840376072e-9
378,4.613675946269117e-9
379,4.315433716095723e-9
380,4.118536550022626e-9
381,3.9590320637567005e-9
382,3.8034025063457445e-9
383,3.54533689664485e-9
384,3.048904774283311e-9
385,2.9560891143569686e-9
386,2.8373433683328476e-9
387,2.752750059335858e-9
388,2.631098480180246e-9
389,2.4926986860701328e-9
390,2.3546728638300845e-9
391,2.117536553643806e-9
392,2.016723753544793e-9
393,1.918310160509363e-9
394,1.850388659785062e-9
395,1.7948002207794804e-9
396,1.5031778119115978e-9
397,1.4458900958140904e-9
398,1.3682566728227235e-9
399,1.3287000993262939e-9
400,1.2789281986787693e-9
401,1.2257982876513382e-9
402,1.1715817702979838e-9
403,1.1309349368350503e-9
404,1.0957688191473804e-9
405,1.0625774932072715e-9
406,1.0123798777340622e-9
407,9.624501864359115e-10
408,9.137373392495351e-10
409,8.821121188566343e-10
410,8.400662520455235e-10
411,7.947571066922592e-10
412,7.72194636892967e-10
413,7.442596549349316e-10
